ORDERNUMBER,ORDER DATE,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,DAYS_SINCE_LASTORDER,STATUS,PRODUCTLINE,PRODUCTCODE,CITY,COUNTRY,DEALSIZE
10107,9/8/2016,30,95.7,2,287100,828,Shipped,Motorcycles,S10_1678,NYC,USA,Small
10121,4/26/2014,34,81.35,5,276590,757,Shipped,Motorcycles,S10_1678,Reims,France,Small
10134,11/8/2015,41,94.74,2,388434,703,Shipped,Motorcycles,S10_1678,Paris,France,Medium
10145,11/8/2015,45,83.26,6,374670,649,Shipped,Motorcycles,S10_1678,Pasadena,USA,Medium
10168,11/7/2014,36,96.66,1,347976,586,Shipped,Motorcycles,S10_1678,Burlingame,USA,Medium
10180,2/23/2016,29,86.13,9,249777,573,Shipped,Motorcycles,S10_1678,Lille,France,Small
10188,2/23/2016,48,114.84,1,551232,567,Shipped,Motorcycles,S10_1678,Bergen,Norway,Medium
10211,9/13/2017,41,114.84,14,470844,510,Shipped,Motorcycles,S10_1678,Paris,France,Medium
10223,9/13/2017,37,107.18,1,396566,475,Shipped,Motorcycles,S10_1678,Melbourne,Australia,Medium
10237,11/6/2017,23,101.44,7,233312,432,Shipped,Motorcycles,S10_1678,NYC,USA,Small
10251,2/8/2015,28,113.88,2,318864,390,Shipped,Motorcycles,S10_1678,Newark,USA,Medium
10263,2/8/2015,34,108.14,2,367676,350,Shipped,Motorcycles,S10_1678,Bridgewater,USA,Medium
10275,9/12/2016,45,92.83,1,417735,326,Shipped,Motorcycles,S10_1678,Nantes,France,Medium
10285,9/30/2016,36,113.88,6,409968,292,Shipped,Motorcycles,S10_1678,Cambridge,USA,Medium
10299,9/30/2016,23,112.93,9,259739,259,Shipped,Motorcycles,S10_1678,Helsinki,Finland,Small
10309,12/20/2015,41,107.18,5,439438,245,Shipped,Motorcycles,S10_1678,Stavern,Norway,Medium
10318,9/20/2016,46,94.74,1,435804,228,Shipped,Motorcycles,S10_1678,Allentown,USA,Medium
10329,10/15/2017,42,104.67,1,439614,216,Shipped,Motorcycles,S10_1678,NYC,USA,Medium
10341,7/3/2015,41,188.73,9,773793,208,Shipped,Motorcycles,S10_1678,Salzburg,Austria,Large
10361,7/3/2015,20,72.55,13,145100,186,Shipped,Motorcycles,S10_1678,Chatswood,Australia,Small
10375,6/5/2015,21,34.91,12,73311,139,Shipped,Motorcycles,S10_1678,Nantes,France,Small
10388,6/5/2015,42,76.36,4,320712,111,Shipped,Motorcycles,S10_1678,New Bedford,USA,Medium
10403,6/5/2015,24,101.44,7,243456,76,Shipped,Motorcycles,S10_1678,Liverpool,UK,Small
10417,6/5/2015,66,113.88,2,751608,42,Disputed,Motorcycles,S10_1678,Madrid,Spain,Large
10103,4/17/2014,26,207.87,11,540462,878,Shipped,Classic Cars,S10_1949,Stavern,Norway,Medium
10112,10/16/2017,29,248.59,1,720911,825,Shipped,Classic Cars,S10_1949,Lule,Sweden,Large
10126,10/16/2017,38,192.87,11,732906,761,Shipped,Classic Cars,S10_1949,Madrid,Spain,Large
10140,10/16/2017,37,199.3,11,737410,705,Shipped,Classic Cars,S10_1949,Burlingame,USA,Large
10150,11/12/2015,45,244.3,8,1099350,649,Shipped,Classic Cars,S10_1949,Singapore,Singapore,Large
10163,11/12/2015,21,231.44,1,486024,619,Shipped,Classic Cars,S10_1949,NYC,USA,Medium
10174,11/12/2015,34,235.73,4,801482,603,Shipped,Classic Cars,S10_1949,South Brisbane,Australia,Large
10183,11/12/2015,23,233.59,8,537257,597,Shipped,Classic Cars,S10_1949,Philadelphia,USA,Medium
10194,11/12/2015,42,173.58,11,729036,586,Shipped,Classic Cars,S10_1949,Lyon,France,Large
10206,11/12/2015,47,192.87,6,906489,577,Shipped,Classic Cars,S10_1949,Vancouver,Canada,Large
10215,5/28/2015,35,173.58,3,607530,523,Shipped,Classic Cars,S10_1949,Burbank,USA,Medium
10228,5/28/2015,29,222.87,2,646323,484,Shipped,Classic Cars,S10_1949,Cambridge,USA,Medium
10245,5/28/2015,34,180.01,9,612034,430,Shipped,Classic Cars,S10_1949,New Haven,USA,Medium
10258,10/15/2014,32,240.02,6,768064,389,Shipped,Classic Cars,S10_1949,Minato-ku,Japan,Large
10270,10/15/2014,21,233.59,9,490539,356,Shipped,Classic Cars,S10_1949,Chatswood,Australia,Medium
10280,10/15/2014,34,235.73,2,801482,328,Shipped,Classic Cars,S10_1949,Torino,Italy,Large
10291,10/15/2014,37,192.87,11,713619,307,Shipped,Classic Cars,S10_1949,Boras,Sweden,Large
10304,2/10/2016,47,216.44,6,1017270,275,Shipped,Classic Cars,S10_1949,Versailles,France,Large
10312,1/24/2017,48,242.16,3,1162370,266,Shipped,Classic Cars,S10_1949,San Rafael,USA,Large
10322,1/24/2017,40,150.01,1,600040,253,Shipped,Classic Cars,S10_1949,Nashua,USA,Medium
10347,1/24/2017,30,131.49,1,394470,229,Shipped,Classic Cars,S10_1949,Melbourne,Australia,Medium
10357,1/24/2017,32,177.87,10,569184,219,Shipped,Classic Cars,S10_1949,San Rafael,USA,Medium
10369,6/12/2016,41,110.12,2,451492,179,Shipped,Classic Cars,S10_1949,Brickhaven,USA,Medium
10391,6/12/2016,24,100.69,4,241656,131,Shipped,Classic Cars,S10_1949,North Sydney,Australia,Small
10411,3/20/2017,23,180.01,9,414023,79,Shipped,Classic Cars,S10_1949,Montreal,Canada,Medium
10424,11/24/2017,50,240.02,6,1200100,50,In Process,Classic Cars,S10_1949,Madrid,Spain,Large
10107,11/28/2016,39,99.91,5,389649,878,Shipped,Motorcycles,S10_2016,NYC,USA,Medium
10120,8/20/2016,29,96.34,3,279386,815,Shipped,Motorcycles,S10_2016,Melbourne,Australia,Small
10134,8/20/2016,27,122.51,5,330777,753,Shipped,Motorcycles,S10_2016,Paris,France,Medium
10145,12/3/2015,37,140.35,9,519295,699,Shipped,Motorcycles,S10_2016,Pasadena,USA,Medium
10168,6/1/2017,27,135.59,4,366093,636,Shipped,Motorcycles,S10_2016,Burlingame,USA,Medium
10180,9/5/2017,42,111.8,12,469560,623,Shipped,Motorcycles,S10_2016,Lille,France,Medium
10188,3/26/2016,38,96.34,4,366092,617,Shipped,Motorcycles,S10_2016,Bergen,Norway,Medium
10210,3/26/2016,23,130.83,2,300909,563,Shipped,Motorcycles,S10_2016,Osaka,Japan,Medium
10223,6/1/2017,47,115.37,4,542239,525,Shipped,Motorcycles,S10_2016,Melbourne,Australia,Medium
10236,6/1/2017,22,129.64,1,285208,484,Shipped,Motorcycles,S10_2016,Philadelphia,USA,Small
10251,9/4/2015,44,130.83,5,575652,440,Shipped,Motorcycles,S10_2016,Newark,USA,Medium
10263,4/17/2016,40,111.8,5,447200,400,Shipped,Motorcycles,S10_2016,Bridgewater,USA,Medium
10275,4/17/2016,22,132.02,4,290444,376,Shipped,Motorcycles,S10_2016,Nantes,France,Small
10285,4/17/2016,47,137.97,9,648459,342,Shipped,Motorcycles,S10_2016,Cambridge,USA,Medium
10298,2/9/2014,39,96.34,1,375726,312,Shipped,Motorcycles,S10_2016,Nantes,France,Medium
10308,2/9/2014,34,118.94,2,404396,295,Shipped,Motorcycles,S10_2016,White Plains,USA,Medium
10318,9/8/2014,45,123.7,4,556650,278,Shipped,Motorcycles,S10_2016,Allentown,USA,Medium
10329,10/2/2017,20,158.8,2,317600,266,Shipped,Motorcycles,S10_2016,NYC,USA,Medium
10339,9/7/2016,40,68.92,4,275680,259,Shipped,Motorcycles,S10_2016,Minato-ku,Japan,Small
10361,5/26/2017,26,51.15,8,132990,236,Shipped,Motorcycles,S10_2016,Chatswood,Australia,Small
10374,5/26/2017,39,135.59,5,528801,190,Shipped,Motorcycles,S10_2016,South Brisbane,Australia,Medium
10388,5/26/2017,50,44.51,5,222550,161,Shipped,Motorcycles,S10_2016,New Bedford,USA,Small
