User ID,Subscription Type,Join Year,Join Date,Last Payment Date,Most Watched Genre,Country,Age,Gender,Device,Plan Duration,Monthly Subscription Price,Video quality,Resolution,"Customer Life
(In Month)",Total Sales,"Total Days 
(From last payment to 31st December) "
2,Premium,2021,05/09/2021,11/22/2023,Non-Fiction,Canada,35,Female,Tablet,1 Month,649,Best,4K+HDR,30,19470,39
3,Standard,2023,2/28/2023,11/27/2023,Self-Help,United Kingdom,42,Male,Smart TV,1 Month,499,Better,1080p,8,3992,34
4,Standard,2022,7/10/2022,10/26/2023,Non-Fiction,Australia,51,Female,Laptop,3 Month,499,Better,1080p,15,7485,66
5,Basic,2023,5/1/2023,11/28/2023,Romance,Germany,33,Male,Smartphone,1 Month,199,Good,720p,6,1194,33
6,Premium,2022,3/18/2022,10/27/2023,Romance,France,29,Female,Smart TV,3 Month,649,Best,4K+HDR,19,12331,65
7,Standard,2021,12/9/2021,12/4/2023,Horror,Brazil,46,Male,Tablet,1 Month,499,Better,1080p,23,11477,27
8,Basic,2023,4/2/2023,12/24/2023,Thriller,Mexico,39,Female,Laptop,1 Month,199,Good,720p,8,1592,7
9,Standard,2022,10/20/2022,10/23/2023,Crime,Spain,37,Male,Smartphone,3 Month,499,Better,1080p,12,5988,69
10,Premium,2023,1/7/2023,6/22/2023,Crime,Italy,44,Female,Smart TV,6 Month,649,Best,4K+HDR,5,3245,192
11,Basic,2022,5/16/2022,7/22/2023,Mystery,United States,31,Female,Smartphone,6 Month,199,Good,720p,14,2786,162
12,Premium,2023,3/23/2023,10/28/2023,Comedy,Canada,45,Male,Tablet,3 Month,649,Best,4K+HDR,7,4543,64
13,Standard,2021,11/30/2021,12/27/2023,Romance,United Kingdom,48,Female,Laptop,1 Month,499,Better,1080p,24,11976,4
14,Basic,2022,8/1/2022,12/26/2023,Drama,Australia,27,Male,Smartphone,1 Month,199,Good,720p,16,3184,5
15,Standard,2023,5/9/2023,9/28/2023,Fantasy,Germany,38,Female,Smart TV,3 Month,499,Better,1080p,4,1996,94
16,Premium,2022,4/7/2022,12/27/2023,Autobiography,France,36,Male,Tablet,1 Month,649,Best,4K+HDR,20,12980,4
17,Basic,2022,1/24/2022,10/25/2023,Drama,Brazil,30,Female,Laptop,3 Month,199,Good,720p,21,4179,67
18,Standard,2021,10/18/2021,11/24/2023,Horror,Mexico,43,Male,Smartphone,1 Month,499,Better,1080p,25,12475,37
19,Premium,2023,2/15/2023,7/23/2023,Crime,Spain,32,Female,Smart TV,6 Month,649,Best,4K+HDR,5,3245,161
20,Basic,2023,5/27/2023,11/22/2023,Action,Italy,41,Male,Tablet,1 Month,199,Good,720p,5,995,39
21,Premium,2023,6/10/2023,10/22/2023,Comedy,United States,26,Female,Laptop,3 Month,649,Best,4K+HDR,4,2596,70
22,Basic,2022,7/22/2022,12/28/2023,Horror,Canada,34,Male,Smartphone,1 Month,199,Good,720p,17,3383,3
23,Standard,2021,12/5/2021,9/27/2023,Comedy,United Kingdom,49,Female,Smart TV,3 Month,499,Better,1080p,21,10479,95
24,Standard,2022,4/3/2022,6/26/2023,Horror,Australia,31,Male,Tablet,6 Month,499,Better,1080p,14,6986,188
25,Basic,2023,3/14/2023,10/28/2023,Crime,Germany,40,Female,Laptop,3 Month,199,Good,720p,7,1393,64
26,Premium,2022,1/12/2022,6/27/2023,Comedy,France,29,Male,Smartphone,6 Month,649,Best,4K+HDR,17,11033,187
27,Basic,2022,8/29/2022,6/25/2023,Historical Fiction,Brazil,47,Female,Smart TV,6 Month,199,Good,720p,9,1791,189
28,Standard,2021,9/27/2021,11/24/2023,Comedy,Mexico,33,Male,Tablet,1 Month,499,Better,1080p,25,12475,37
29,Premium,2022,12/19/2022,7/23/2023,Historical Fiction,Spain,36,Female,Laptop,6 Month,649,Best,4K+HDR,7,4543,161
30,Basic,2023,5/17/2023,12/22/2023,Historical Fiction,Italy,42,Male,Smartphone,1 Month,199,Good,720p,7,1393,9
31,Premium,2023,2/3/2023,9/22/2023,Biography,United States,28,Female,Smart TV,3 Month,649,Best,4K+HDR,7,4543,100
32,Basic,2022,7/7/2022,12/28/2023,Autobiography,Canada,37,Male,Tablet,1 Month,199,Good,720p,17,3383,3
33,Standard,2022,1/21/2022,9/27/2023,Adventure,United Kingdom,41,Female,Laptop,3 Month,499,Better,1080p,20,9980,95
34,Standard,2022,5/25/2022,9/26/2023,Thriller,Australia,29,Male,Smartphone,3 Month,499,Better,1080p,16,7984,96
35,Basic,2023,4/11/2023,11/28/2023,Action,Germany,39,Female,Smart TV,1 Month,199,Good,720p,7,1393,33
36,Premium,2022,3/1/2022,9/27/2023,Biography,France,35,Male,Tablet,3 Month,649,Best,4K+HDR,18,11682,95
37,Basic,2022,9/14/2022,12/25/2023,Historical Fiction,Brazil,45,Female,Laptop,1 Month,199,Good,720p,15,2985,6
38,Standard,2021,11/5/2021,12/24/2023,Autobiography,Mexico,32,Male,Smartphone,1 Month,499,Better,1080p,25,12475,7
39,Premium,2022,12/28/2022,9/23/2023,Non-Fiction,Spain,27,Female,Smart TV,3 Month,649,Best,4K+HDR,8,5192,99
40,Basic,2023,3/7/2023,7/22/2023,Adventure,Italy,48,Male,Tablet,6 Month,199,Good,720p,4,796,162
41,Premium,2023,1/20/2023,6/22/2023,Adventure,United States,31,Female,Laptop,6 Month,649,Best,4K+HDR,5,3245,192
42,Basic,2022,6/15/2022,10/28/2023,Action,Canada,40,Male,Smartphone,3 Month,199,Good,720p,16,3184,64
43,Standard,2022,2/7/2022,10/27/2023,Non-Fiction,United Kingdom,36,Female,Smart TV,3 Month,499,Better,1080p,20,9980,65
