Sr No,Date dd/mm/yyyy,Year,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,Investment Type,Amount (in '000)
1,09/01/2020,2020,BYJU’S,Ed-Tech,E-learning,Bangalore,Tiger Global Management,Private Equity Round,200000000
2,1/13/2020,2020,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394
3,09/01/2020,2020,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,18358860
4,02/01/2020,2020,https://www.wealthbucket.in/,Fin-Tech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,3000000
5,02/01/2020,2020,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,1800000
6,1/13/2020,2020,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000
7,10/01/2020,2020,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,150000000
8,12/12/2019,2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000
9,06/12/2019,2019,CarDekho,E-commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,70000000
10,03/12/2019,2019,Dhruva Space,Aerospace,Satellite Communication,Bangalore,"Mumbai Angels, Ravikanth Reddy",Seed Round,50000000
11,12/13/2019,2019,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,20000000
12,12/17/2019,2019,Healthians,Food-Tech,Food Solutions For Corporate,Bangalore,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,12000000
13,12/16/2019,2019,Licious,E-commerce,Online Meat And Seafood Ordering Startup,Bangalore,Vertex Growth Fund,Series E,30000000
15,12/14/2019,2019,Trell,Video,Experience Discovery Platform,Bangalore,Ruizheng Investment,Seed Round,2000000
16,11/12/2019,2019,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,50000000
