User ID,Subscription Type,Join Year,Join Date,Last Payment Date,Most Watched Genre,Country,Age,Gender,Device,Plan Duration,Monthly Subscription Price,Video quality,Resolution,"Customer Life
(In Month)","Number of 
Non-Subscription
Months",Total Earning,"Total Days 
(From last payment to 31st December)"
OTT-2,Basic,2020,10/29/2020,12/16/2023,Non-Fiction,India,47,Female,Tablet,1 Month,799,Best,4K+HDR,37,7,4794,15
OTT-3,Standard,2021,9/23/2021,12/22/2023,Self-Help,Thailand,39,Male,Smart TV,1 Month,549,Better,1080p,26,7,10431,9
OTT-4,Premium,2021,3/29/2021,8/27/2023,Non-Fiction,China,49,Female,Laptop,3 Month,549,Better,1080p,28,3,13725,126
OTT-5,Basic,2020,7/14/2020,12/26/2023,Romance,Vietnam,39,Male,Smartphone,1 Month,249,Good,720p,41,6,8715,5
OTT-6,Premium,2019,2/17/2019,1/28/2023,Romance,Philippines,39,Female,Smart TV,3 Month,799,Best,4K+HDR,47,8,31161,337
OTT-7,Basic,2020,9/17/2020,9/27/2023,Horror,Japan,35,Male,Tablet,1 Month,549,Better,1080p,36,4,17568,95
OTT-8,Standard,2020,12/17/2020,2/4/2023,Thriller,Thailand,44,Female,Laptop,1 Month,249,Good,720p,25,9,3984,330
OTT-9,Standard,2019,2/14/2019,2/24/2023,Crime,India,34,Male,Smartphone,3 Month,549,Better,1080p,48,10,20862,310
OTT-10,Basic,2020,5/11/2020,6/23/2023,Crime,Malaysia,32,Female,Smart TV,6 Month,799,Best,4K+HDR,37,1,28764,191
OTT-11,Premium,2021,2/17/2021,11/22/2023,Mystery,Japan,29,Female,Smartphone,6 Month,249,Good,720p,33,7,6474,39
OTT-12,Basic,2019,3/3/2019,2/22/2023,Comedy,South Korea,31,Male,Tablet,3 Month,799,Best,4K+HDR,47,2,35955,312
OTT-13,Standard,2019,12/14/2019,6/28/2023,Romance,South Korea,29,Female,Laptop,1 Month,549,Better,1080p,42,4,20862,186
OTT-14,Premium,2020,11/3/2020,6/27/2023,Drama,Thailand,35,Male,Smartphone,1 Month,249,Good,720p,31,7,5976,187
OTT-15,Basic,2019,12/5/2019,7/26/2023,Fantasy,India,46,Female,Smart TV,3 Month,549,Better,1080p,43,9,18666,158
OTT-16,Basic,2021,6/17/2021,4/28/2023,Autobiography,Philippines,31,Male,Tablet,1 Month,799,Best,4K+HDR,22,4,14382,247
OTT-17,Basic,2020,4/23/2020,10/27/2023,Drama,India,36,Female,Laptop,3 Month,249,Good,720p,42,2,9960,65
OTT-18,Standard,2020,10/14/2020,6/25/2023,Horror,Vietnam,38,Male,Smartphone,1 Month,549,Better,1080p,32,7,13725,189
OTT-19,Premium,2020,11/24/2020,3/24/2023,Crime,Vietnam,46,Female,Smart TV,6 Month,799,Best,4K+HDR,28,6,17578,282
OTT-20,Basic,2020,12/7/2020,12/23/2023,Action,Thailand,49,Male,Tablet,1 Month,249,Good,720p,36,10,6474,8
OTT-21,Premium,2019,3/23/2019,3/22/2023,Comedy,Indonesia,29,Female,Laptop,3 Month,799,Best,4K+HDR,47,6,32759,284
OTT-22,Basic,2021,2/7/2021,2/22/2023,Horror,India,27,Male,Smartphone,1 Month,249,Good,720p,24,3,5229,312
OTT-23,Standard,2020,2/19/2020,2/28/2023,Comedy,India,35,Female,Smart TV,3 Month,549,Better,1080p,36,1,19215,306
OTT-24,Standard,2021,12/17/2021,12/27/2023,Horror,Japan,37,Male,Tablet,6 Month,549,Better,1080p,24,2,12078,4
OTT-25,Basic,2021,3/23/2021,3/26/2023,Crime,Malaysia,40,Female,Laptop,3 Month,249,Good,720p,24,9,3735,280
OTT-26,Premium,2020,3/7/2020,3/28/2023,Comedy,South Korea,33,Male,Smartphone,6 Month,799,Best,4K+HDR,36,4,25568,278
OTT-27,Basic,2019,10/5/2019,10/27/2023,Historical Fiction,Indonesia,37,Female,Smart TV,6 Month,249,Good,720p,48,8,9960,65
OTT-28,Standard,2021,3/5/2021,3/25/2023,Comedy,China,48,Male,Tablet,1 Month,549,Better,1080p,24,7,9333,281
OTT-29,Premium,2019,10/29/2019,10/24/2023,Historical Fiction,Singapore,50,Female,Laptop,6 Month,799,Best,4K+HDR,47,4,34357,68
OTT-30,Basic,2020,4/5/2020,4/23/2023,Historical Fiction,India,45,Male,Smartphone,1 Month,249,Good,720p,36,4,7968,252
OTT-31,Premium,2020,7/5/2020,7/22/2023,Biography,Vietnam,40,Female,Smart TV,3 Month,799,Best,4K+HDR,36,1,27965,162
OTT-32,Basic,2020,3/29/2020,3/22/2023,Autobiography,India,33,Male,Tablet,1 Month,249,Good,720p,35,6,7221,284
OTT-33,Standard,2019,9/3/2019,9/28/2023,Adventure,Thailand,44,Female,Laptop,3 Month,549,Better,1080p,48,2,25254,94
OTT-34,Standard,2021,3/24/2021,3/27/2023,Thriller,Singapore,30,Male,Smartphone,3 Month,549,Better,1080p,24,8,8784,279
OTT-35,Basic,2020,11/14/2020,11/26/2023,Action,Thailand,27,Female,Smart TV,1 Month,249,Good,720p,36,10,6474,35
OTT-36,Premium,2021,7/24/2021,7/28/2023,Biography,Thailand,51,Male,Tablet,3 Month,799,Best,4K+HDR,24,6,14382,156
OTT-37,Basic,2021,10/21/2021,10/27/2023,Historical Fiction,India,49,Female,Laptop,1 Month,249,Good,720p,24,8,3984,65
OTT-38,Standard,2021,7/5/2021,7/25/2023,Autobiography,India,43,Male,Smartphone,1 Month,549,Better,1080p,24,2,12078,159
OTT-39,Premium,2021,2/11/2021,2/24/2023,Non-Fiction,Thailand,42,Female,Smart TV,3 Month,799,Best,4K+HDR,24,9,11985,310
OTT-40,Basic,2019,9/1/2019,9/23/2023,Adventure,China,45,Male,Tablet,6 Month,249,Good,720p,48,6,10458,99
OTT-41,Premium,2021,7/1/2021,7/22/2023,Adventure,Japan,36,Female,Laptop,6 Month,799,Best,4K+HDR,24,5,15181,162
OTT-42,Basic,2021,9/17/2021,9/22/2023,Action,South Korea,48,Male,Smartphone,3 Month,249,Good,720p,24,6,4482,100
OTT-43,Standard,2019,2/23/2019,2/28/2023,Non-Fiction,Vietnam,38,Female,Smart TV,3 Month,549,Better,1080p,48,8,21960,306
OTT-44,Standard,2021,7/1/2021,7/27/2023,Crime,China,43,Male,Tablet,1 Month,549,Better,1080p,24,5,10431,157
OTT-45,Basic,2019,11/7/2019,11/26/2023,Mystery,Japan,47,Female,Laptop,3 Month,249,Good,720p,48,8,9960,35
OTT-46,Premium,2021,8/1/2021,8/28/2023,Adventure,Singapore,48,Male,Smartphone,6 Month,799,Best,4K+HDR,24,7,13583,125
OTT-47,Basic,2019,12/14/2019,12/27/2023,Mystery,Indonesia,47,Female,Smart TV,1 Month,249,Good,720p,48,3,11205,4
OTT-48,Standard,2020,5/14/2020,5/25/2023,Comedy,Malaysia,32,Male,Tablet,6 Month,549,Better,1080p,36,3,18117,220
OTT-49,Premium,2020,12/14/2020,12/24/2023,Drama,Thailand,47,Female,Laptop,6 Month,799,Best,4K+HDR,36,3,26367,7
OTT-50,Basic,2020,8/3/2020,8/23/2023,Horror,Philippines,41,Male,Smartphone,3 Month,249,Good,720p,36,6,7470,130
OTT-51,Premium,2019,12/14/2019,12/22/2023,Science Fiction,Singapore,49,Female,Smart TV,6 Month,799,Best,4K+HDR,48,5,34357,9
OTT-52,Basic,2019,1/21/2019,1/22/2023,Adventure,Japan,28,Male,Tablet,6 Month,249,Good,720p,48,1,11703,343
OTT-53,Standard,2020,9/1/2020,9/28/2023,Fantasy,India,40,Female,Laptop,3 Month,549,Better,1080p,36,3,18117,94
OTT-54,Standard,2020,2/5/2020,2/27/2023,Romance,India,43,Male,Smartphone,3 Month,549,Better,1080p,36,7,15921,307
OTT-55,Basic,2020,2/5/2020,2/26/2023,Fantasy,China,42,Female,Smart TV,3 Month,249,Good,720p,36,7,7221,308
OTT-56,Premium,2021,6/1/2021,6/28/2023,Self-Help,South Korea,28,Male,Tablet,6 Month,799,Best,4K+HDR,24,1,18377,186
OTT-57,Basic,2021,11/5/2021,11/27/2023,Thriller,Indonesia,30,Female,Laptop,1 Month,249,Good,720p,24,4,4980,34
OTT-58,Standard,2019,2/5/2019,2/25/2023,Mystery,Malaysia,33,Male,Smartphone,1 Month,549,Better,1080p,48,2,25254,309
OTT-59,Premium,2021,6/11/2021,6/24/2023,Mystery,Vietnam,35,Female,Smart TV,1 Month,799,Best,4K+HDR,24,3,16779,190
OTT-60,Basic,2021,6/24/2021,6/23/2023,Thriller,Indonesia,38,Male,Tablet,3 Month,249,Good,720p,23,8,3735,191
OTT-61,Premium,2020,7/17/2020,7/22/2023,Romance,Vietnam,49,Female,Laptop,6 Month,799,Best,4K+HDR,36,10,20774,162
OTT-62,Basic,2021,4/11/2021,4/22/2023,Autobiography,India,39,Male,Smartphone,3 Month,249,Good,720p,24,2,5478,253
OTT-63,Standard,2019,10/23/2019,10/28/2023,Autobiography,Malaysia,46,Female,Smart TV,3 Month,549,Better,1080p,48,7,22509,64
OTT-64,Standard,2021,6/7/2021,6/27/2023,Drama,India,47,Male,Tablet,3 Month,549,Better,1080p,24,5,10431,187
OTT-65,Basic,2021,3/21/2021,3/26/2023,Biography,Malaysia,30,Female,Laptop,6 Month,249,Good,720p,24,6,4482,280
OTT-66,Premium,2020,4/7/2020,4/28/2023,Fantasy,Philippines,33,Male,Smartphone,6 Month,799,Best,4K+HDR,36,4,25568,247
OTT-67,Basic,2020,11/7/2020,11/27/2023,Romance,China,47,Female,Smart TV,6 Month,249,Good,720p,36,9,6723,34
OTT-68,Standard,2020,11/19/2020,11/25/2023,Drama,India,27,Male,Tablet,3 Month,549,Better,1080p,36,1,19215,36
OTT-69,Premium,2019,12/5/2019,12/24/2023,Science Fiction,China,28,Female,Laptop,1 Month,799,Best,4K+HDR,48,7,32759,7
OTT-70,Basic,2021,3/23/2021,3/23/2023,Autobiography,South Korea,47,Male,Smartphone,1 Month,249,Good,720p,24,1,5727,283
